Power [dBm],navg,fc [GHz],fc error,Qi,Qi error,Qc,Qc error,Q,Q error
-30.0,287102.7512354325,5.979404676391034,1.2799446105957031e-08,1185780.4594867267,9146.104877135294,365888.43025281036,470.0884902262478,291944.5314265424,476.9062136282446
-32.0,182768.63308090655,5.979404801544968,1.2477034568786622e-08,1208531.4447915403,7129.370341198686,365667.9020265919,353.2011535069323,292985.12146301405,360.00769902102184
-35.0,90923.8081311798,5.97940493712399,1.7137166976928712e-08,1189497.503249293,9519.44175927442,365600.1402010712,485.1583058688557,291782.60810415907,492.6367139426293
-38.0,44705.56206424779,5.979405045333491,2.348085308074951e-08,1142763.8401094442,12088.370361224157,366806.1868015689,666.7665869852644,289664.90710404224,669.8283044199343
-40.0,27812.510080864005,5.9794050809177826,2.2564290046691893e-08,1110383.65236337,10988.481365015214,366928.76290146343,639.1917640695465,287741.1543311061,637.5978992697783
-45.0,8299.197364443486,5.979404862844023,3.468376350402832e-08,992483.5763306632,13409.132181409757,368353.6111089054,961.842150066339,279882.38119264063,928.292647455819
-50.0,2379.4551481812778,5.979405049035197,5.8980242729187014e-08,836526.35869171,15899.09091580848,367326.49491293286,1539.2868352156365,265248.6198369475,1406.868175302574
-52.0,1418.79716045211,5.979404837833784,4.601821994781494e-08,764483.297362403,10438.497074332276,368015.9252427857,1188.75370492629,258170.34530971426,1054.6023616442108
-55.0,666.23620253815,5.979404700808945,6.04610538482666e-08,693543.618461909,11244.50229092064,369475.47806253453,1524.1819553663954,249931.42902374544,1302.941924879182
-57.0,395.299172755183,5.979404522964743,7.548291969299316e-08,636047.1519557113,11735.862171732693,367135.1402776796,1825.5849854265107,240985.72525766795,1511.4800193397386
-60.0,180.56380632622594,5.979404352543253,1.0832257461547852e-07,562858.7379261643,12905.10818924228,366620.7766674162,2474.870431415853,229720.0584558925,1943.9921609276207
-62.0,106.61597792527962,5.979404592934218,1.5108119201660156e-07,518476.9103779517,15290.736350878515,370275.9991644811,3431.479209046054,223980.15072407413,2599.146220352821
-65.0,48.45794174968129,5.97940474237615,1.459819631576538e-07,462479.0935593392,11624.007308716402,363582.0960567512,3048.34724159661,209973.74628254873,2195.0666937007336
-67.0,29.485803337587242,5.979405104658708,1.754052219390869e-07,444079.81725563906,12815.912107164755,367668.6736792204,3664.6503382441006,207549.9010480527,2573.7733744361904
-69.0,16.646630289150107,5.979404819041584,2.552227449417114e-07,394194.7741145204,14598.939901445863,363185.78564649716,4979.445056989382,195022.24027585247,3308.5234633167565
-70.0,13.330612206960657,5.9794045617780505,1.3557586193084717e-07,397538.28591813095,7834.824965422961,366282.6099948145,2666.33132449229,196405.10820827857,1770.4186344709888
-72.0,7.828259311693074,5.979404580712494,1.8817163562774657e-07,369365.8200713876,9393.452323639502,364072.59929991997,3564.14410327567,188883.59000694565,2284.4723812580924
-75.0,3.5945927738390595,5.979404374591415,2.688769292831421e-07,338897.90332045907,11238.472673737355,358774.1651902893,4799.560942890355,179626.12600749973,2948.665681599261
-77.0,2.1253754939007825,5.979404211417948,3.6278576278686525e-07,318633.94750734814,13380.596771369715,353761.1561126232,6125.729708553117,172131.82496189448,3656.9397047879756
-79.0,1.4021978198370646,5.979404685090604,4.16158239364624e-07,332348.9313588108,16851.805727686457,356758.2205360909,7300.853845795267,176699.0832474013,4452.99323179794
-81.0,0.8509009600360343,5.979405136779361,5.959280548095703e-07,320317.3158920357,22463.244242163975,363166.2187617902,10516.801179449074,174069.70187463396,6222.718540240778
-83.0,0.5222745527256945,5.979404565214591,7.052202911376953e-07,312185.9158152377,26980.1627624399,350785.7415799415,12562.053764423006,170482.3868423527,7558.2546789137705
-85.0,0.33179318878265185,5.9794049771860776,9.048093318939208e-07,314172.43255700794,33773.46281401928,341908.1491559313,14871.363596782438,167715.3252071088,9006.75748545857
